OBJECTID,PIC,Facility_Name,Facility_Address,City,STATE,ZIP_Code,Operational_Designation,Source,Full_Address,Confidence,Low_Income,longitude,latitude
1,3281,WORLD OIL MARKETING COMPANY #2,1101 E FLORENCE AVE,LOS ANGELES,CALIFORNIA,90001,Service Station or Gas Station,ARB,,,YES,-118.25632578280845,33.97483141453835
2,3287,WORLD OIL MARKETING COMPANY #1,7201 S SAN PEDRO ST,LOS ANGELES,CALIFORNIA,90003,Service Station or Gas Station,ARB,,,YES,-118.26960947719544,33.97468611377332
3,3283,LEE'S MOBIL,1502 FIRESTONE BLVD,LOS ANGELES,CALIFORNIA,90001,Service Station or Gas Station,ARB,,,YES,-118.24697331376726,33.960109173599655
4,3291,AHNS MOBIL,254 W SLAUSON AVE,LOS ANGELES,CALIFORNIA,90003,Service Station or Gas Station,ARB,,,YES,-118.27752847995524,33.989121847795246
5,3282,FIRESTONE SHELL,1454 FIRESTONE BLVD,LOS ANGELES,CALIFORNIA,90001,Service Station or Gas Station,ARB,,,YES,-118.24801184547017,33.9600868866007
6,3296,"Rashid &Sons, Inc",6303 S FIGUEROA ST,LOS ANGELES,CALIFORNIA,90003,Service Station or Gas Station,ARB,,,YES,-118.28272518362022,33.981870399199735
7,3286,OSCAR'S GAS & MINI MART INC,6320 HOLMES AVE,LOS ANGELES,CALIFORNIA,90001,Service Station or Gas Station,ARB,,,YES,-118.2411173494859,33.982541941857285
8,12817,FLORANCE SERVICE STATION,303 W FLORENCE AVE,LOS ANGELES,CALIFORNIA,90003,Service Station or Gas Station,ARB,,,YES,-118.27845778090166,33.974723208109744
9,3288,A & N SERVICE STATION,7831 S ALAMEDA ST,LOS ANGELES,CALIFORNIA,90001,Service Station or Gas Station,ARB,,,,-118.23352005760442,33.968347404209624
10,3284,WORLD OIL MARKETING COMPANY #13,1935 E FLORENCE AVE,LOS ANGELES,CALIFORNIA,90001,Service Station or Gas Station,ARB,,,YES,-118.23775603171535,33.97482527576608
11,3298,AVALON ARCO,9600 AVALON BLVD,LOS ANGELES,CALIFORNIA,90003,Service Station or Gas Station,ARB,,,YES,-118.26508997742037,33.949211907603605
12,3294,FLORENCE CHEVRON,428 W FLORENCE AVE,LOS ANGELES,CALIFORNIA,90003,Service Station or Gas Station,ARB,,,YES,-118.2813757544873,33.97461028743499
13,3293,M & M GAS STATION & MINI-MART,343 W GAGE AVE,LOS ANGELES,CALIFORNIA,90003,Service Station or Gas Station,ARB,,,YES,-118.279959199957,33.98244403446479
14,3297,UNITED PACIFIC #5607,8600 S FIGUEROA ST,LOS ANGELES,CALIFORNIA,90003,Service Station or Gas Station,ARB,,,YES,-118.28262824929415,33.960034450729474
15,3285,SHELL,605 E FLORENCE AVE,LOS ANGELES,CALIFORNIA,90001,Service Station or Gas Station,ARB,,,YES,-118.2650524900802,33.974786610313984
16,3302,Vermont Gas & Mart,341 N VERMONT AVE,LOS ANGELES,CALIFORNIA,90004,Service Station or Gas Station,ARB,,,YES,-118.29174004266869,34.07689831270722
17,3306,MELROSE & VINE MINI MART,655 N ROSSMORE AVE,LOS ANGELES,CALIFORNIA,90004,Service Station or Gas Station,ARB,,,,-118.32667517521897,34.08311462543986
18,3289,GSE 76 FIGUEROA,10000 S FIGUEROA ST,LOS ANGELES,CALIFORNIA,90003,Service Station or Gas Station,ARB,,,YES,-118.28254839129507,33.945501125876426
19,3301,UNITED PACIFIC #5706,304 N VERMONT AVE,LOS ANGELES,CALIFORNIA,90004,Service Station or Gas Station,ARB,,,,-118.29160920659943,34.07642529539121
20,3307,CIRCLE K MOBIL STORE 2211098,657 N VERMONT AVE,LOS ANGELES,CALIFORNIA,90004,Service Station or Gas Station,ARB,,,YES,-118.2917781640309,34.082813293199116
21,3292,G&M OIL COMPANY #79,256 E MANCHESTER AVE,LOS ANGELES,CALIFORNIA,90003,Service Station or Gas Station,ARB,,,YES,-118.2697110025606,33.9601224215127
